Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,RP Software Documentation
dimemas,KyRIC,,,,,,,,
dm-tree,ACES,library,,,,"dm-tree is a python library for working with nested data structures. In a way, tree generalizes the builtin map function which only supports flat sequences, and allows to apply a function to each ""leaf"" preserving the overall structure. Description Source:https://github.com/google-deepmind/tree",https://github.com/google-deepmind/tree,https://tree.readthedocs.io/en/latest/,ACES: https://hprc.tamu.edu/software/aces/
dmtcp,Rockfish,,Intel AI/ML,,,"DMTCP (Distributed MultiThreaded Checkpointing) transparently checkpoints a single-host or distributed computation in user-space -- with no modifications to user code or to the O/S. It works on most Linux applications, including Python, Matlab, R, GUI desktops, MPI, etc. It is robust and widely used (on Sourceforge since 2007). Description Source:https://dmtcp.sourceforge.io/",https://dmtcp.sourceforge.io/,https://dmtcp.sourceforge.io/docs/index.html,
dnnl,KyRIC,,Intel AI/ML,,,,,,
dnnl-cpu-gomp,KyRIC,,Intel AI/ML,,,,,,
dnnl-cpu-iomp,KyRIC,,Intel AI/ML,,,,,,
dnnl-cpu-tbb,KyRIC,,Intel AI/ML,,,,,,
dorado,ACES,,Bioinformatics,Sciences,Biology,"Dorado is a high-performance, easy-to-use, open source basecaller for Oxford Nanopore reads. Description Source:https://github.com/nanoporetech/dorado",https://nanoporetech.com/,https://github.com/nanoporetech/dorado,ACES: https://hprc.tamu.edu/software/aces/
dos2unix,Delta,,Utilties,,,dos2unix converts text files with DOS or Mac line breaks to Unix line breaks and vice versa. Description Source:https://dos2unix.sourceforge.io/#DOS2UNIX,https://dos2unix.sourceforge.io/#DOS2UNIX,https://dos2unix.sourceforge.io/dos2unix/man1/dos2unix.htm,
dot,OOKAMI,,,,,,,,
double-conversion,ACES,library,,,,Double-Conversion provides binary-decimal and decimal-binary routines for IEEE doubles. This library consists of efficient conversion routines that have been extracted from the V8 JavaScript engine. Description Source:https://github.com/google/double-conversion,https://github.com/google/double-conversion?tab=readme-ov-file,https://github.com/google/double-conversion,ACES: https://hprc.tamu.edu/software/aces/
doxygen,"OOKAMI, ACES, Rockfish",,,,,"Doxygen is a widely-used documentation generator tool in software development. It automates the generation of documentation from source code comments, parsing information about classes, functions, and variables to produce output in formats like HTML and PDF. Description Source:https://www.doxygen.nl/",https://www.doxygen.nl/,https://www.doxygen.nl/manual/index.html, ACES: https://hprc.tamu.edu/software/aces/
dpct,KyRIC,,,,,,,,
dpl,KyRIC,,,,,,,,
dream3d,Rockfish,,,,,DREAM.3D consists of data analysis tools (Filters) that allow for the construction of customized workflows (Pipelines) to analyze data. DREAM.3D provides a flexible and extensible data structure that eases data transport between collaborators by storing data in a non-proprietary format. Description Source:https://dream3d.bluequartz.net/,https://dream3d.bluequartz.net/,https://github.com/BlueQuartzSoftware/DREAM3D/tree/develop/Documentation,
DReAMM,Bridges-2,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/dreamm
Dsuite,Rockfish,,,,,Dsuite provides a fast calculation of Patterson's D (ABBA-BABA) and the f4-ratio statistics across many populations/species. Description Source:https://github.com/millanek/Dsuite,https://github.com/millanek/Dsuite,https://github.com/millanek/tutorials/tree/master/analysis_of_introgression_with_snp_data,
EasyBuild,"KyRIC, ACES",,Software Repo,,,EasyBuild is a software build and installation framework that allows you to manage (scientific) software on High Performance Computing (HPC) systems in an efficient way. Description Source:https://docs.easybuild.io/what-is-easybuild/,https://easybuild.io/,https://docs.easybuild.io/, ACES: https://hprc.tamu.edu/software/aces/
EasyBuild-aces,ACES,,Software Repo,,,EasyBuild environment variables for building system software in /tmp and installing in /sw/eb on aces.hprc.tamu.edu Description Source:https://hprc.tamu.edu/software/aces/#,https://easybuild.io/,https://docs.easybuild.io/,ACES: https://hprc.tamu.edu/software/aces/
EasyBuild-aces-myeb,ACES,,Software Repo,,,User EasyBuild environment for aces.hprc.tamu.edu in $SCRATCH/eb. Description Source:https://hprc.tamu.edu/software/aces/#,https://easybuild.io/,https://docs.easybuild.io/,ACES: https://hprc.tamu.edu/software/aces/
EasyBuild-aces-SCRATCH,ACES,,Software Repo,,,User EasyBuild environment for aces.hprc.tamu.edu in $SCRATCH/eb. Description Source:https://hprc.tamu.edu/software/aces/#,https://easybuild.io/,https://docs.easybuild.io/,ACES: https://hprc.tamu.edu/software/aces/
EasyBuild-aces-tmp,ACES,,Software Repo,,,EasyBuild environment variables for building in /tmp and installing in /sw/eb on aces.hprc.tamu.edu. Description Source:https://hprc.tamu.edu/software/aces/#,https://easybuild.io/,https://docs.easybuild.io/,ACES: https://hprc.tamu.edu/software/aces/
ecBuild,ACES,,,,,"ECbuild is a CMake-based build system, consisting of a collection of CMake macros and functions that ease the managing of software build systems. Description Source:https://github.com/ecmwf/ecbuild",https://github.com/ecmwf/ecbuild,https://ecbuild.readthedocs.io/en/latest/,ACES: https://hprc.tamu.edu/software/aces/
ecCodes,ACES,,,,,ecCodes is a package developed by ECMWF which provides an application programming interface and a set of tools for decoding and encoding messages in different WMO formats. Description Source:https://github.com/ecmwf/eccodes,https://github.com/ecmwf/eccodes,https://confluence.ecmwf.int/display/ECC/Documentation,ACES: https://hprc.tamu.edu/software/aces/
eckit,Rockfish,,,,,"ecKit is a cross-platform C++ toolkit that supports development of tools and applications at ECMWF. It is based on code developed over the last 20 years within the MARS software and was re-factored out to be reused by other applications. It provides a an abstraction layer on top of the operating system, so it is easier to port code to new architectures. It is developed taking into account the robustness requirements of running production systems at ECMWF. The main focus is UNIX/POSIX systems, and it has been thoroughly tested on AIX, Linux and Mac OSX. Historically, the code base pre-dates and in some way can be seen as a leaner substitute for some 'Boost' libraries. Description Source:https://github.com/ecmwf/eckit",https://github.com/ecmwf/eckit,https://github.com/ecmwf/eckit,
edgeR,Rockfish,,,,,"edgeR employs empirical analysis of digital gene expression data in R. Differential expression analysis of RNA-seq expression profiles with biological replication. Implements a range of statistical methodology based on the negative binomial distributions, including empirical Bayes estimation, exact tests, generalized linear models and quasi-likelihood tests. As well as RNA-seq, it be applied to differential signal analysis of other types of genomic data that produce read counts, including ChIP-seq, ATAC-seq, Bisulfite-seq, SAGE and CAGE. Description Source:https://bioconductor.org/packages/release/bioc/html/edgeR.html",https://bioinf.wehi.edu.au/edgeR/,https://bioconductor.org/packages/edgeR,
eigen,"Stampede-2, Anvil, ACES",library,,,,"Eigen is a C++ template library for linear algebra: matrices, vectors, numerical solvers, and related algorithms. Description Source:https://eigen.tuxfamily.org/index.php?title=Main_Page",https://eigen.tuxfamily.org/,https://eigen.tuxfamily.org/dox/,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/eigen ,  ACES: https://hprc.tamu.edu/software/aces/"
einops,ACES,library,,,,"Einops is a python library which allows for Flexible and powerful tensor operations for readable and reliable code. Supports numpy, pytorch, tensorflow, jax, and others.  Description Source:https://github.com/arogozhnikov/einops",https://einops.rocks/,https://einops.rocks/#tutorials,ACES: https://hprc.tamu.edu/software/aces/
elemental,Stampede-2,library,,,,"Elemental is a modern C++ library for distributed-memory dense and sparse-direct linear algebra, conic optimization, and lattice reduction. The library was initially released in Elemental: A new framework for distributed memory dense linear algebra and absorbed, then greatly expanded upon, the functionality from the sparse-direct solver Clique, which was originally released during a project on Parallel Sweeping Preconditioners. Description Source:https://github.com/elemental/Elemental",https://github.com/elemental/Elemental,https://elemental.github.io/documentation/dev/index.html,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
elfutils,ACES,,Utilities,,,"elfutils is a collection of utilities and libraries to read, create and modify ELF binary files, find and handle DWARF debug data, symbols, thread state and stacktraces for processes and core files on GNU/Linux. Description Source:https://sourceware.org/elfutils/",https://sourceware.org/elfutils/,https://sourceware.org/elfutils/,ACES: https://hprc.tamu.edu/software/aces/
elpa,"OOKAMI, ACES",library,,,,The publicly available ELPA library provides highly efficient and highly scalable direct eigensolvers for symmetric (hermitian) matrices. Descripiton Source:https://elpa.mpcdf.mpg.de/ABOUT_ELPA.html,https://elpa.mpcdf.mpg.de/,https://gitlab.mpcdf.mpg.de/elpa/elpa/-/blob/master/documentation/USERS_GUIDE.md, ACES: https://hprc.tamu.edu/software/aces/
emacs,"Anvil, Rockfish",,editor,,,"GNU Emacs is an extensible, customizable, free/libre text editor. Description Source:https://www.gnu.org/savannah-checkouts/gnu/emacs/emacs.html",https://www.gnu.org/savannah-checkouts/gnu/emacs/emacs.html#features,https://www.gnu.org/software/emacs/documentation.html,Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/emacs
ensembl-vep,Rockfish,,Bioinformatics,Sciences,Biology,"VEP determines the effect of your variants (SNPs, insertions, deletions, CNVs or structural variants) on genes, transcripts, and protein sequence, as well as regulatory regions. Description Source: https://useast.ensembl.org/info/docs/tools/vep/index.html",https://useast.ensembl.org/info/docs/tools/vep/script/index.html,https://useast.ensembl.org/info/docs/tools/vep/script/vep_tutorial.html,
entrezdirect,Expanse,,,,,,,,
ESMF,ACES,,,,,"The Earth System Modeling Framework (ESMF) is a suite of software tools for developing high-performance, multi-component Earth science modeling applications. Such applications may include a few or dozens of components representing atmospheric, oceanic, terrestrial, or other physical domains, and their constituent processes (dynamical, chemical, biological, etc.). Description Source:https://earthsystemmodeling.org/docs/release/latest/ESMF_usrdoc/node2.html",https://earthsystemmodeling.org/,https://earthsystemmodeling.org/doc/,ACES: https://hprc.tamu.edu/software/aces/
expat,"ACES, Rockfish",library,,,,"Expat is a stream-oriented XML parser library written in C and excels with files too large to fit RAM, and where performance and flexibility are crucial. Description Source:https://libexpat.github.io/",https://libexpat.github.io/,https://libexpat.github.io/doc/,ACES: https://hprc.tamu.edu/software/aces/
expat-2.2.10-gcc-9.3.0-dola2tn,KyRIC,library,,,,"Expat is a stream-oriented XML parser library written in C and excels with files too large to fit RAM, and where performance and flexibility are crucial. Description Source:https://libexpat.github.io/",,,
expecttest,ACES,library,,,,"This library implements expect tests (also known as ""golden"" tests). Expect tests are a method of writing tests where instead of hard-coding the expected output of a test, you run the test to get the output, and the test framework automatically populates the expected output. Description Source:https://github.com/ezyang/expecttest",https://github.com/ezyang/expecttest,,ACES: https://hprc.tamu.edu/software/aces/
extrae,KyRIC,,,,,,,,
FASTA-Splitter,Bridges-2,,Bioinformatics,Sciences,Biology,FASTA Splitter is a simple script for dividing a large FASTA file into smaller equally sized parts. Description Source:https://kirill-kryukov.com/study/tools/fasta-splitter/,https://kirill-kryukov.com/study/tools/fasta-splitter/,https://github.com/alan-lira/fasta-splitter?tab=readme-ov-file,Bridges-2: https://www.psc.edu/resources/software/fasta-splitter
fastai,ACES,library,,,,"fastai is a deep learning library which provides practitioners with high-level components that can quickly and easily provide state-of-the-art results in standard deep learning domains, and provides researchers with low-level components that can be mixed and matched to build new approaches. It aims to do both things without substantial compromises in ease of use, flexibility, or performance. Description Source:https://docs.fast.ai/#about-fastai",https://www.fast.ai/,https://docs.fast.ai/,ACES: https://hprc.tamu.edu/software/aces/
FastANI,Bridges-2,,,,,FastANI is developed for fast alignment-free computation of whole-genome Average Nucleotide Identity (ANI). ANI is defined as mean nucleotide identity of orthologous gene pairs shared between two microbial genomes. FastANI supports pairwise comparison of both complete and draft genome assemblies. Description Source: https://github.com/ParBLiSS/FastANI,https://github.com/ParBLiSS/FastANI,https://github.com/ParBLiSS/FastANI,Bridges-2: https://www.psc.edu/resources/software/fastani
FASTQ-Splitter,Bridges-2,,Bioinformatics,Sciences,Biology,"FASTQ Splitter divides a large FASTQ file into a set of smaller equally sized files. It allows processing the dataset in parallel, for instance on a cluster computer. Description Source:https://kirill-kryukov.com/study/tools/fastq-splitter/",https://kirill-kryukov.com/study/tools/fastq-splitter/,https://kirill-kryukov.com/study/tools/fastq-splitter/,Bridges-2: https://www.psc.edu/resources/software/fastq-splitter
FastQC,"Stampede-2, ACES, Bridges-2, Rockfish",,Bioinformatics,Sciences,Biology,"FastQC aims to provide a QC report which can spot problems which originate either in the sequencer or in the starting library material. Whereas Most sequencers will generate a QC report as part of their analysis pipeline, but this is usually only focused on identifying problems which were generated by the sequencer itself. Description Source:https://www.bioinformatics.babraham.ac.uk/projects/fastqc/Help/1%20Introduction/1.1%20What%20is%20FastQC.html",https://www.bioinformatics.babraham.ac.uk/projects/fastqc/,https://www.bioinformatics.babraham.ac.uk/projects/fastqc/Help/,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  ACES: https://hprc.tamu.edu/software/aces/ ,  Bridges-2: https://www.psc.edu/resources/software/fastqc"
FASTX Toolkit,Bridges-2,,Bioinformatics,Sciences,Biology,The FASTX-Toolkit is a collection of command line tools for Short-Reads FASTA/FASTQ files preprocessing. Description Source:http://hannonlab.cshl.edu/fastx_toolkit/,http://hannonlab.cshl.edu/fastx_toolkit/,http://hannonlab.cshl.edu/fastx_toolkit/galaxy.html,Bridges-2: https://www.psc.edu/resources/software/fastx toolkit
fastx_toolkit,Stampede-2,,Bioinformatics,Sciences,Biology,The FASTX-Toolkit is a collection of command line tools for Short-Reads FASTA/FASTQ files preprocessing. Description Source:http://hannonlab.cshl.edu/fastx_toolkit/,http://hannonlab.cshl.edu/fastx_toolkit/,http://hannonlab.cshl.edu/fastx_toolkit/galaxy.html,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
feh,Rockfish,,,,,"feh is a light-weight, configurable and versatile image viewer. It is aimed at command line users, but can also be started from graphical file managers. Apart from viewing images, it can compile text and thumbnail listings, show (un)loadable files, set X11 backgrounds, and more. Description Source:https://feh.finalrewind.org/",https://feh.finalrewind.org/,https://man.finalrewind.org/1/feh/,
fenics,Rockfish,,,,,"FEniCS is a popular open-source computing platform for solving partial differential equations (PDEs) with the finite element method (FEM). FEniCS enables users to quickly translate scientific models into efficient finite element code. With the high-level Python and C++ interfaces to FEniCS, it is easy to get started, but FEniCS offers also powerful capabilities for more experienced programmers. FEniCS runs on a multitude of platforms ranging from laptops to high-performance computers. Description Source:https://fenicsproject.org/",https://fenicsproject.org/,https://docs.fenicsproject.org/,
ferret,Rockfish,,,,,"Ferret is an interactive computer visualization and analysis environment designed to meet the needs of oceanographers and meteorologists analyzing large and complex gridded data sets. It runs on recent Unix and Mac systems, using X windows for display. PyFerret, introduced in 2012, is a Python module wrapping Ferret. PyFerret is an upgrade to Ferret which runs existing Ferret scripts and includes all Ferret functionality with updated graphics capabilities and additional analysis functions. In addition the pyferret module provides Python functions so Python users can easily take advantage of Ferret's abilities to retrieve, manipulate, visualize, and save data. Description Source:https://ferret.pmel.noaa.gov/Ferret/",https://ferret.pmel.noaa.gov/Ferret/,https://ferret.pmel.noaa.gov/Ferret/documentation/ferret-documentation,
ffmpeg,"OOKAMI, Stampede-2, ACES, Rockfish",,,,,"FFmpeg is a collection of libraries and tools to process multimedia content such as audio, video, subtitles and related metadata. Description Source:https://github.com/FFmpeg/FFmpeg",https://www.ffmpeg.org/,https://www.ffmpeg.org/documentation.html," Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  ACES: https://hprc.tamu.edu/software/aces/"
ffnvcodec,ACES,,,,,FFmpeg version of headers required to interface with Nvidias codec APIs. Description Source:https://github.com/FFmpeg/nv-codec-headers,https://git.videolan.org/?p=ffmpeg/nv-codec-headers.git,https://git.videolan.org/?p=ffmpeg/nv-codec-headers.git;a=tree,ACES: https://hprc.tamu.edu/software/aces/
FFTW,"Anvil, DARWIN, ACES, Delta, Rockfish",library,mathematics,Engineering,,"FFTW is a C subroutine library for computing the discrete Fourier transform (DFT) in one or more dimensions, of arbitrary input size, and of both real and complex data (as well as of even/odd data, i.e. the discrete cosine/sine transforms or DCT/DST). We believe that FFTW, which is free software, should become the FFT library of choice for most applications. Description Source:https://www.fftw.org/",https://www.fftw.org/,https://www.fftw.org/fftw3_doc/,"Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/fftw ,  DARWIN: https://docs.hpc.udel.edu/software/fftw/fftw ,  ACES: https://hprc.tamu.edu/software/aces/"
fftw-3.3.9-gcc-9.3.0-7ffoo22,KyRIC,library,,Engineering,,"FFTW is a C subroutine library for computing the discrete Fourier transform (DFT) in one or more dimensions, of arbitrary input size, and of both real and complex data (as well as of even/odd data, i.e. the discrete cosine/sine transforms or DCT/DST). We believe that FFTW, which is free software, should become the FFT library of choice for most applications. Description Source:https://www.fftw.org/",https://www.fftw.org/,https://www.fftw.org/fftw3_doc/,
FFTW.MPI,ACES,library,,Engineering,,"FFTW.mpi is a part of the FFTW (Fastest Fourier Transform in the West) library that specializes in performing highly efficient, parallel Fast Fourier Transforms (FFTs) using MPI (Message Passing Interface) for distributed-memory computing environments. This extension enables the library to handle large-scale FFT computations across multiple processors in a cluster, optimizing performance for applications in engineering, physics, and other scientific fields that require processing large datasets or complex numerical simulations.",https://www.fftw.org/,https://fftw.org/doc/Distributed_002dmemory-FFTW-with-MPI.html,ACES: https://hprc.tamu.edu/software/aces/
fftw2,Stampede-2,,,Engineering,,"FFTW 2.1.5 is the stable release of FFTW2, last updated in 1999. FFTW 2.1.5 is obsolete, but because its API is incompatible with that of version 3.x, we continue to distribute it for those users who require backwards compatibility. Description Source:https://www.fftw.org/download.html",https://www.fftw.org/,https://www.fftw.org/#documentation,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
FFTW3,"OOKAMI, Stampede-2, Bridges-2",library,mathematics,Engineering,,"FFTW is a C subroutine library for computing the discrete Fourier transform (DFT) in one or more dimensions, of arbitrary input size, and of both real and complex data (as well as of even/odd data, i.e. the discrete cosine/sine transforms or DCT/DST). We believe that FFTW, which is free software, should become the FFT library of choice for most applications. Description Source:https://www.fftw.org/",https://www.fftw.org/,https://www.fftw.org/fftw3_doc/," Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  Bridges-2: https://www.psc.edu/resources/software/fftw3"
file,ACES,,,,,"The file command is ""a file type guesser"", that is, a command-line tool that tells you in words what kind of data a file contains. Description Source:https://www.darwinsys.com/file/",https://www.darwinsys.com/file/,https://github.com/file/file,ACES: https://hprc.tamu.edu/software/aces/
Firefox,"ACES, Rockfish",application,,,,"Firefox is a free, open source Web browser for Windows, Linux and Mac OS X.",https://www.mozilla.org/en-US/firefox/new/,https://developer.mozilla.org/en-US/docs/Mozilla/Firefox,ACES: https://hprc.tamu.edu/software/aces/
FLAC,ACES,,,,,"FLAC stands for Free Lossless Audio Codec, an audio format similar to MP3, but lossless, meaning that audio is compressed in FLAC without any loss in quality. Description Source:https://xiph.org/flac/",https://xiph.org/flac/,https://xiph.org/flac/documentation.html,ACES: https://hprc.tamu.edu/software/aces/
FLASh,Bridges-2,,,,,FLASH (Fast Length Adjustment of SHort reads) is a very fast and accurate software tool to merge paired-end reads from next-generation sequencing experiments. FLASH is designed to merge pairs of reads when the original DNA fragments are shorter than twice the length of reads. The resulting longer reads can significantly improve genome assemblies. They can also improve transcriptome assembly when FLASH is used to merge RNA-seq data. Description Source:https://ccb.jhu.edu/software/FLASH/,https://ccb.jhu.edu/software/FLASH/,https://ccb.jhu.edu/software/FLASH/,Bridges-2: https://www.psc.edu/resources/software/flash
Flask,ACES,,,,,"Flask is a lightweight WSGI web application framework. It is designed to make getting started quick and easy, with the ability to scale up to complex applications. Description Source:https://palletsprojects.com/p/flask/",https://palletsprojects.com/p/flask/,https://flask.palletsprojects.com/en/3.0.x/,ACES: https://hprc.tamu.edu/software/aces/
flatbuffers,ACES,library,,,,"FlatBuffers is a cross platform serialization library architected for maximum memory efficiency. It allows you to directly access serialized data without parsing/unpacking it first, while still having great forwards/backwards compatibility. Description Source:https://github.com/google/flatbuffers/",https://flatbuffers.dev/,https://flatbuffers.dev/,ACES: https://hprc.tamu.edu/software/aces/
flatbuffers-python,ACES,library,,,,"FlatBuffers is a cross platform serialization library architected for maximum memory efficiency. It allows you to directly access serialized data without parsing/unpacking it first, while still having great forwards/backwards compatibility. Description Source:https://github.com/google/flatbuffers/",https://flatbuffers.dev/,https://flatbuffers.dev/flatbuffers_guide_use_python.html,ACES: https://hprc.tamu.edu/software/aces/
flex,"OOKAMI, ACES",,,,,flex (fast lexical analyzer generator) is a tool for generating scanners: programs which recognize lexical patterns in text. Description Source:https://github.com/westes/flex,https://github.com/westes/flex,https://github.com/westes/flex, ACES: https://hprc.tamu.edu/software/aces/
FlexiBLAS,ACES,library,,,,FlexiBLAS is a wrapper library that enables the exchange of the BLAS and LAPACK implementation used by a program without recompiling or relinking it. Description Source:https://gitlab.mpi-magdeburg.mpg.de/software/flexiblas-release,https://www.mpi-magdeburg.mpg.de/projects/flexiblas,https://gitlab.mpi-magdeburg.mpg.de/software/flexiblas-release#documentation,ACES: https://hprc.tamu.edu/software/aces/
fltk,"ACES, Rockfish",,,,,"FLTK is a cross-platform C++ GUI toolkit for UNIX®/Linux® (X11), Microsoft® Windows®, and macOS®. FLTK provides modern GUI functionality without the bloat and supports 3D graphics via OpenGL® and its built-in GLUT emulation. Description Source:https://www.fltk.org/",https://www.fltk.org/,https://www.fltk.org/documentation.php,ACES: https://hprc.tamu.edu/software/aces/
Fluent,Bridges-2,Software,Fluid Simulation,Engineering,,"Fluent is a computational fluid dynamics (CFD) software for simulating and analyzing fluid flow, heat transfer, and chemical reactions, widely used in engineering and research fields. It offers advanced modeling capabilities and a user-friendly interface for complex fluid dynamics studies.",https://www.ansys.com/products/fluids/ansys-fluent,,Bridges-2: https://www.psc.edu/resources/software/fluent
FMS2,OOKAMI,,,,,,,,
fontconfig,"ACES, Rockfish",library,,,,Fontconfig is a library for configuring and customizing font access. Description Source:https://www.freedesktop.org/wiki/Software/fontconfig/,https://www.freedesktop.org/wiki/Software/fontconfig/,https://fontconfig.pages.freedesktop.org/fontconfig/fontconfig-user.html,ACES: https://hprc.tamu.edu/software/aces/
Fortran,"DARWIN, Bridges-2",,Compilers,,,Fortran is a natively parallel programming language with intuitive array-like syntax to communicate data between CPUs. Description Source:https://fortran-lang.org/,https://fortran-lang.org/,https://www.fortran90.org/,"DARWIN: https://docs.hpc.udel.edu/software/fortran/fortran ,  Bridges-2: https://www.psc.edu/resources/software/fortran"
foss,ACES,,,,,"The foss common compiler toolchain consists entirely of open source software (hence the name, derived from the common term 'FOSS', which is short for ""Free and Open Source Software""). Description Source:https://docs.easybuild.io/common-toolchains/#common_toolchains_foss",https://docs.easybuild.io/,https://docs.easybuild.io/common-toolchains/,ACES: https://hprc.tamu.edu/software/aces/
fosscuda,ACES,,,,,"fosscuda is a compiler toolchain with GCC+CUDA, OpenMPI, OpenBLAS, ScaLAPACK and FFTW. Description Source:https://docs.easybuild.io/api/easybuild/toolchains/fosscuda/?h=fosscuda",https://docs.easybuild.io/,,ACES: https://hprc.tamu.edu/software/aces/
freeglut,ACES,,,,,"freeglut is a free-software/open-source alternative to the OpenGL Utility Toolkit (GLUT) library. GLUT (and hence freeglut) takes care of all the system-specific chores required for creating windows, initializing OpenGL contexts, and handling input events, to allow for trully portable OpenGL programs. Description Source:https://freeglut.sourceforge.net/",https://freeglut.sourceforge.net/,https://freeglut.sourceforge.net/docs/api.php,ACES: https://hprc.tamu.edu/software/aces/
freeipmi,OOKAMI,,,,,"FreeIPMI provides in-band and out-of-band IPMI software based on the IPMI v1.5/2.0 specification. The IPMI specification defines a set of interfaces for platform management and is implemented by a number of vendors for system management. The features of IPMI that most users will be interested in are sensor monitoring, system event monitoring, power control, and serial-over-LAN (SOL). Description Source:https://www.gnu.org/software/freeipmi/",https://www.gnu.org/software/freeipmi/index.html,https://www.gnu.org/software/freeipmi/documentation.html,
freetype,"ACES, Rockfish",,,,,FreeType is a freely available software library to render fonts. Description Source:https://freetype.org/,https://freetype.org/,https://freetype.org/freetype2/docs/documentation.html,ACES: https://hprc.tamu.edu/software/aces/
fribidi,"ACES, Rockfish",library,,,,The Free Implementation of the Unicode Bidirectional Algorithm. Description Source:https://github.com/fribidi/fribidi?tab=readme-ov-file,https://github.com/fribidi/fribidi,https://github.com/fribidi/fribidi,ACES: https://hprc.tamu.edu/software/aces/
fujitsu,OOKAMI,,,,,,,,
Funannotate,Bridges-2,,,,,"Funannotate is a genome prediction, annotation, and comparison software package. It was originally written to annotate fungal genomes (small eukaryotes ~ 30 Mb genomes), but has evolved over time to accomodate larger genomes. Description Source:https://funannotate.readthedocs.io/en/latest/#",https://funannotate.readthedocs.io/en/latest/#,https://funannotate.readthedocs.io/en/latest/commands.html,Bridges-2: https://www.psc.edu/resources/software/funannotate
GAMESS,"Stampede-2, Bridges-2",application,"analysis, molecular quantum chemistry",Sciences,Chemistry,"GAMESS (General Atomic and Molecular Electronic Structure System) is used for ab initio quantum chemistry calculations. It provides a wide range of methods for studying molecular systems, including ground state energies, molecular geometry optimization, and electronic properties, making it a valuable tool for researchers in chemistry and physics.",https://www.msg.chem.iastate.edu/gamess/index.html,https://www.msg.chem.iastate.edu/gamess/documentation.html,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  Bridges-2: https://www.psc.edu/resources/software/gamess"
GATK,"Stampede-2, Bridges-2, Rockfish",toolkit,Bioinformatics,Sciences,Biology,GATK (Genome Analysis Toolkit) is a collection of command-line tools for analyzing high-throughput sequencing data with a primary focus on variant discovery. The tools can be used individually or chained together into complete workflows. Description Source:https://gatk.broadinstitute.org/hc/en-us/articles/360036194592-Getting-started-with-GATK4,https://gatk.broadinstitute.org/hc/en-us,https://gatk.broadinstitute.org/hc/en-us,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  Bridges-2: https://www.psc.edu/resources/software/gatk"
Gaussian,"Stampede-2, DARWIN, Bridges-2, Rockfish",application,"modeling, chemistry, biochemistry, mathematics",Sciences,Chemistry,"Gaussian is a computational chemistry software for quantum mechanical simulations, widely used by researchers for studying molecular structures and reactions. It offers advanced capabilities in electronic structure prediction and various spectroscopic properties analysis.",https://gaussian.com/,https://gaussian.com/man/,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  DARWIN: https://docs.hpc.udel.edu/software/gaussian/gaussian ,  Bridges-2: https://www.psc.edu/resources/software/gaussian"
gaussview,Rockfish,service,GUI,Sciences,Chemistry,"GaussView aids in the creation of Gaussian input files, enables the user to run Gaussian calculations from a graphical interface without the need for using a command line instruction, and helps in the interpretation of Gaussian output. Description Source:https://gaussian.com/gaussview6/",https://gaussian.com/gaussview6/,https://gaussian.com/wp-content/uploads/dl/gv6.pdf,
gawk-5.1.0-gcc-9.3.0-is2xpxq,KyRIC,service,Utilties,,,"gawk is an interpreter for the AWK programming language, allowing text manipulation and pattern scanning. It is particularly useful for processing text files, generating reports, and performing data extraction and transformation in Unix-based environments.",,,
gcc,"FASTER, Expanse, OOKAMI, Stampede-2, ACES, Delta, Bridges-2, Rockfish",service,Compilers,,,"GCC, the GNU Compiler Collection, is an open-source compiler system that supports various programming languages like C, C++, Objective-C, Fortran, Ada, and Go. It is widely used in software development for compiling source code into executable programs, providing robust performance and extensive compatibility across different platforms and operating systems. Description Source:https://gcc.gnu.org/",https://gcc.gnu.org/,https://gcc.gnu.org/onlinedocs/,"FASTER: https://hprc.tamu.edu/software/faster/ ,  Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  ACES: https://hprc.tamu.edu/software/aces/ ,  Bridges-2: https://www.psc.edu/resources/software/gcc"
gcc-10.2.0-gcc-9.3.0-prm4se2,KyRIC,,,,,"GCC, the GNU Compiler Collection, is an open-source compiler system that supports various programming languages like C, C++, Objective-C, Fortran, Ada, and Go. It is widely used in software development for compiling source code into executable programs, providing robust performance and extensive compatibility across different platforms and operating systems. Description Source:https://gcc.gnu.org/",https://gcc.gnu.org/,https://gcc.gnu.org/onlinedocs/,
