Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,Example Software Use (link),Area-specific Examples,Containerized Version of Software,RP Documentations for Software,Pathing,RP Name,RP Full Software Doc
Boost,"OOKAMI, Stampede-2, Anvil, KyRIC, ACES, Bridges-2, Rockfish",library,general,Engineering,Mathematics,"BLAST (Basic Local Alignment Search Tool) is a bioinformatics software program used for comparing primary biological sequence information, such as the amino-acid sequences of proteins or the nucleotides of DNA and/or RNA sequences. It's widely used for identifying similarities, understanding evolutionary relationships, and finding functional and structural homologues among sequences in large databases, making it a crucial tool in genomic and proteomic research.",https://www.boost.org/,https://www.boost.org/doc/libs/1_84_0/,,,,,,,
boost-mpi,Stampede-2,library,"general, parallel processing",Engineering,Mathematics,Boost.MPI is a library for message passing in high-performance parallel applications. Description Source=https://www.boost.org/doc/libs/1_84_0/doc/html/mpi/tutorial.html,https://www.boost.org/,https://www.boost.org/doc/libs/1_84_0/doc/html/mpi/tutorial.html,,,,,,,
Boost.MPI,ACES,LIbrary,Scientific Library,Engineering,Mathematics,Boost.MPI is a library for message passing in high-performance parallel applications. Description Source=https://www.boost.org/doc/libs/1_84_0/doc/html/mpi/tutorial.html,https://www.boost.org/,https://www.boost.org/doc/libs/1_84_0/doc/html/mpi/tutorial.html,,,,,,,
Boost.Python,ACES,,Scientific Library,Engineering,Mathematics,Boost.Python is a C++ library which enables seamless interoperability between C++ and the Python programming language. Description Source=https://www.boost.org/doc/libs/1_84_0/libs/python/doc/html/index.html,https://www.boost.org/doc/libs/1_84_0/libs/python/doc/html/index.html,https://www.boost.org/doc/libs/1_84_0/libs/python/doc/html/tutorial/index.html,,,,,,,
bowtie,Rockfish,,Bioinformatics,Sciences,Biology,"Bowtie is an ultrafast, memory-efficient short read aligner geared toward quickly aligning large sets of short DNA sequences (reads) to large genomes. Description Source=https://bowtie-bio.sourceforge.net/manual.shtml",https://bowtie-bio.sourceforge.net/index.shtml,https://bowtie-bio.sourceforge.net/manual.shtml,,,,,,,
bowtie2,"Bridges-2, Rockfish",,Bioinformatics,Sciences,Biology,Bowtie 2 is an ultrafast and memory-efficient tool for aligning sequencing reads to long reference sequences. It is particularly good at aligning to relatively long (e.g. mammalian) genomes. Description Source=https://github.com/BenLangmead/bowtie3,https://bowtie-bio.sourceforge.net/bowtie2/index.shtml,https://bowtie-bio.sourceforge.net/bowtie2/manual.shtml,,,,,,,
Brotli,ACES,,,,,"Brotli is a generic-purpose lossless compression algorithm that compresses data using a combination of a modern variant of the LZ77 algorithm, Huffman coding and 2nd order context modeling, with a compression ratio comparable to the best currently available general-purpose compression methods. Description Source=https://brotli.org/",https://brotli.org/,https://github.com/google/brotli,,,,,,,
Brotli-python,ACES,,Python library,,,"Brotli is a generic-purpose lossless compression algorithm that compresses data using a combination of a modern variant of the LZ77 algorithm, Huffman coding and 2nd order context modeling, with a compression ratio comparable to the best currently available general-purpose compression methods. Description Source=https://brotli.org/",https://brotli.org/,https://github.com/google/brotli/blob/master/python/README.md,,,,,,,
Brunsli,ACES,,,,,Brunsli is a lossless JPEG repacking library. Brunsli allows for a 22% decrease in file size while allowing the original JPEG to be recovered byte-by-byte. Description Source=https://github.com/google/brunsli,https://github.com/google/brunsli,https://github.com/google/brunsli,,,,,,,
BUSCO,Bridges-2,,Bioinformatics,Sciences,Biology,Benchmarking Universal Single-Copy Orthologs (BUSCO) is used for assessing genome assembly and annotation completeness.  Description Source=https://gitlab.com/ezlab/busco,https://busco.ezlab.org/,https://busco.ezlab.org/busco_userguide.html,,,,,,,
bwa,"ACES, Bridges-2, Rockfish",,Bioinformatics,Sciences,Biology,"BWA is a software package for mapping low-divergent sequences against a large reference genome, such as the human genome. Description Source=https://bio-bwa.sourceforge.net/",https://bio-bwa.sourceforge.net/,https://bio-bwa.sourceforge.net/bwa.shtml,,,,,,,
bwa-mem,Rockfish,,Bioinformatics,Sciences,Biology,"BWA is a software package for mapping low-divergent sequences against a large reference genome, such as the human genome. BWA-MEM is one of the 3 algorithms originally available in the main bwa package. BWA-MEM has since been replaced by minimap2 in later versions of BWA.  Description Source=https://github.com/lh3/bwa",https://bio-bwa.sourceforge.net/,https://bio-bwa.sourceforge.net/bwa.shtml,,,,,,,
bzip2,"Anvil, ACES, Rockfish",,Utilties,,,"bzip2 is a freely available, patent free, high-quality data compressor. It typically compresses files to within 10% to 15% of the best available techniques (the PPM family of statistical compressors), whilst being around twice as fast at compression and six times faster at decompression. Description Source=https://sourceware.org/bzip2/",https://sourceware.org/bzip2/,https://sourceware.org/bzip2/manual/manual.html,,,,,,,
bzip2-1.0.8-gcc-9.3.0-mhfuqd4,KyRIC,,Utilites,,,"bzip2 is a freely available, patent free, high-quality data compressor. It typically compresses files to within 10% to 15% of the best available techniques (the PPM family of statistical compressors), whilst being around twice as fast at compression and six times faster at decompression. Description Source=https://sourceware.org/bzip2/",https://sourceware.org/bzip2/,https://sourceware.org/bzip2/manual/manual.html,,,,,,,
C,Bridges-2,,"Compiler, Programming Language",,,,,https://devdocs.io/c/,,,,,,,
C++,Bridges-2,,"Compiler, Programming Language",,,,,https://devdocs.io/cpp/,,,,,,,
cactus,Rockfish,application,"modeling, genomics, bioinformatics",Sciences,Biology,"Cactus is a reference-free whole-genome alignment program, as well as a pagenome graph construction toolkit. Description Source = https://github.com/ComparativeGenomicsToolkit/cactus?tab=readme-ov-file",https://github.com/ComparativeGenomicsToolkit/cactus?tab=readme-ov-file,https://github.com/ComparativeGenomicsToolkit/cactus?tab=readme-ov-file,,,,,,,
Caffe,"Stampede-2, Bridges-2",,AI/ML,,,"Caffe is a deep learning framework made with expression, speed, and modularity in mind. It is developed by Berkeley AI Research (BAIR) and by community contributors. Description Source=https://caffe.berkeleyvision.org/",https://caffe.berkeleyvision.org/,https://caffe.berkeleyvision.org/tutorial/,,,,,,,
cairo,"ACES, Rockfish",,Bioinformatics,Sciences,Biology,"Cairo is a 2D graphics library with support for multiple output devices. Currently supported output targets include the X Window System (via both Xlib and XCB), Quartz, Win32, image buffers, PostScript, PDF, and SVG file output. Description Source=https://cairographics.org/",https://cairographics.org/,https://cairographics.org/documentation/,,,,,,,
canu,Stampede-2,,Bioinformatics,Sciences,Biology,"Canu is a fork of the Celera Assembler, designed for high-noise single-molecule sequencing (such as the PacBio RS II/Sequel or Oxford Nanopore MinION). Description Source=https://github.com/marbl/canu",https://github.com/marbl/canu?tab=readme-ov-file,https://canu.readthedocs.io/en/latest/tutorial.html,,,,,,,
captum,ACES,library,AI/ML,,,"Captum (“comprehension” in Latin) is an open source, extensible library for model interpretability built on PyTorch. Captum helps ML researchers more easily implement interpretability algorithms that can interact with PyTorch models. It also allows researchers to quickly benchmark their work against other existing algorithms available in the library. Description Source=https://captum.ai/docs/introduction.html",https://captum.ai/,https://captum.ai/docs/introduction,,,,,,,
carp,Rockfish,,,,,,,,,,,,,,
caveman,Rockfish,,,,,,,,,,,,,,
caviar,Rockfish,,,,,,,,,,,,,,
ccache,ACES,,,,,Ccache is a compiler cache. It speeds up recompilation by caching previous compilations and detecting when the same compilation is being done again. Description Source=https://ccache.dev/,https://ccache.dev/,https://ccache.dev/documentation.html,,,,,,,
ccl,KyRIC,,,,,,,,,,,,,,
cdo,"ACES, Rockfish",,,,,"CDO is a collection of command line Operators to manipulate and analyse Climate and NWP model Data. Supported data formats are GRIB 1/2, netCDF 3/4, SERVICE, EXTRA and IEG. There are more than 600 operators available. Description Source=https://code.mpimet.mpg.de/projects/cdo",https://code.mpimet.mpg.de/projects/cdo,https://code.mpimet.mpg.de/projects/cdo/wiki/Cdo#Documentation,,,,,,,
cdsapi,ACES,API,,Climate/Weather,,The Climate Data Store (CDS) Application Program Interface (API) is a service providing programmatic access to CDS data. Description Source=https://cds.climate.copernicus.eu/api-how-to,https://github.com/ecmwf/cdsapi,https://cds.climate.copernicus.eu/api-how-to,,,,,,,
cellranger,Rockfish,,Bioinformatics,Sciences,Biology,"A set of analysis pipelines that perform sample demultiplexing, barcode processing, single cell 3' and 5' gene counting, V(D)J transcript sequence assembly and annotation, and Feature Barcode analysis from single cell data. Description Source=https://www.10xgenomics.com/support/software/cell-ranger/latest",https://www.10xgenomics.com/support/software/cell-ranger/latest,https://www.10xgenomics.com/support/software/cell-ranger/latest/tutorials,,,,,,,
cellranger-atac,Rockfish,application,Bioinformatics,Sciences,Biology,Cell Ranger ATAC is a software application for analyzing and visualizing Single Cell ATAC data produced by the 10x Genomics Chromium platform. Software Description=https://support.10xgenomics.com/single-cell-atac/software/overview/welcome,https://support.10xgenomics.com/single-cell-atac/software/overview/welcome,https://support.10xgenomics.com/single-cell-atac/software/overview/welcome,,,,,,,
cesm,Rockfish,application,"Climate//Weather, Simulation, Modeling",Sciences,,"The Community Earth System Model is a fully coupled global climate model developed in collaboration with colleagues in the research community. CESM provides state of the art computer simulations of Earth's past, present, and future climate states. Description Source=https://www.cesm.ucar.edu/",https://www.cesm.ucar.edu/models/cesm2,https://escomp.github.io/CESM/versions/cesm2.2/html/introduction.html,,,,,,,
CESM-deps,ACES,application,"Climate//Weather, Simulation, Modeling",Sciences,,"The Community Earth System Model is a fully coupled global climate model developed in collaboration with colleagues in the research community. CESM provides state of the art computer simulations of Earth's past, present, and future climate states. Description Source=https://www.cesm.ucar.edu/",https://www.cesm.ucar.edu/models/cesm2,https://escomp.github.io/CESM/versions/cesm2.2/html/introduction.html,,,,,,,
CFITSIO,ACES,,,,,CFITSIO is a library of C and Fortran subroutines for reading and writing data files in FITS (Flexible Image Transport System) data format. CFITSIO provides simple high-level routines for reading and writing FITS files that insulate the programmer from the internal complexities of the FITS format. Description Source=https://heasarc.gsfc.nasa.gov/fitsio/,https://heasarc.gsfc.nasa.gov/fitsio/,https://heasarc.gsfc.nasa.gov/docs/software/fitsio/quick/quick.html,,,,,,,
CGAL,ACES,library,,,,"CGAL is an open source software project that provides easy access to efficient and reliable geometric algorithms in the form of a C++ library. CGAL is used in various areas needing geometric computation, such as geographic information systems, computer aided design, molecular biology, medical imaging, computer graphics, and robotics. Description Source=https://www.cgal.org/",https://www.cgal.org/,https://www.cgal.org/documentation.html,,,,,,,
chapel,OOKAMI,,Programming Language,,,Chapel is a programming language designed for productive parallel computing at scale. Description Source=https://chapel-lang.org/,https://chapel-lang.org/,https://chapel-lang.org/docs/,,,,,,,
charliecloud,"ACES, Rockfish",,Container software,,,Charliecloud provides user-defined software stacks (UDSS) for high-performance computing (HPC) centers. Description Source=https://hpc.github.io/charliecloud/,https://hpc.github.io/charliecloud/,https://hpc.github.io/charliecloud/tutorial.html,,,,,,,
Check,ACES,,,,,"Check is a unit testing framework for C. It features a simple interface for defining unit tests, putting little in the way of the developer. Tests are run in a separate address space, so both assertion failures and code errors that cause segmentation faults or other signals can be caught. Description Source=https://libcheck.github.io/check/",https://libcheck.github.io/check/,https://libcheck.github.io/check/doc/check_html/check_3.html#Tutorial,,,,,,,
CheckM,Bridges-2,,Bioinfirmatics,Sciences,Biology,"CheckM provides a set of tools for assessing the quality of genomes recovered from isolates, single cells, or metagenomes. It provides robust estimates of genome completeness and contamination by using collocated sets of genes that are ubiquitous and single-copy within a phylogenetic lineage. Description Source=https://github.com/Ecogenomics/CheckM/wiki/Introduction#about",https://github.com/Ecogenomics/CheckM/wiki,https://github.com/Ecogenomics/CheckM/wiki/Quick-Start,,,,,,,
chemprop,ACES,,,,,Chemprop is a message passing neural network for molecular property prediction. Description Source=https://chemprop.readthedocs.io/en/latest/,https://github.com/chemprop/chemprop,https://chemprop.readthedocs.io/en/latest/,,,,,,,
ChimeraX,ACES,application,Bioinformatics,Sciences,Biology,"UCSF ChimeraX is the next-generation visualization program from the Resource for Biocomputing, Visualization, and Informatics at UC San Francisco, following Chimera",https://www.cgl.ucsf.edu/chimerax/,https://www.cgl.ucsf.edu/chimerax/docs/index.html,,,,,,,
Circos,Bridges-2,,,,,Circos is a software package for visualizing data and information. It visualizes data in a circular layout — this makes Circos ideal for exploring relationships between objects or positions. Description Source=https://circos.ca/,https://circos.ca/,https://circos.ca/documentation/,,,,,,,
cisTEM,ACES,,,,,cisTEM is user-friendly software to process cryo-EM images of macromolecular complexes and obtain high-resolution 3D reconstructions from them. Description Source=https://cistem.org/,https://cistem.org/,https://cistem.org/documentation,,,,,,,
Clang,ACES,,Compilers,,,"The Clang project provides a language front-end and tooling infrastructure (its a compier) for languages in the C language family (C, C++, Objective C/C++, OpenCL, CUDA, and RenderScript) for the LLVM project. Description Source=https://clang.llvm.org/",https://clang.llvm.org/,https://clang.llvm.org/docs/UsersManual.html,,,,,,,
clck,KyRIC,,,,,,,,,,,,,,
CliMetLab,ACES,,Climate/Weather,,,"CliMetLab is a Python package aiming at simplifying access to climate and meteorological datasets, allowing users to focus on science instead of technical issues such as data access and data formats. Description Source=https://climetlab.readthedocs.io/en/latest/index.html",https://climetlab.readthedocs.io/en/latest/index.html,https://climetlab.readthedocs.io/en/latest/,,,,,,,
CLIP,ACES,,AI/ML,,,"CLIP (Contrastive Language-Image Pre-Training) is a neural network trained on a variety of (image, text) pairs. It can be instructed in natural language to predict the most relevant text snippet, given an image, without directly optimizing for the task, similarly to the zero-shot capabilities of GPT-2 and 3. Description Source=https://github.com/openai/CLIP",https://openai.com/research/clip,https://github.com/openai/CLIP/blob/main/notebooks/Interacting_with_CLIP.ipynb,,,,,,,
cluster-tools,OOKAMI,,,,,,,,,,,,,,
cm-pmix3,OOKAMI,,,,,,,,,,,,,,
CMake,"OOKAMI, Stampede-2, Anvil, KyRIC, ACES, Delta, Bridges-2, Rockfish",,Utilities,,,"CMake is the de-facto standard for building C++ code, with over 2 million downloads a month. It’s a powerful, comprehensive solution for managing the software build process. Description Source=https://cmake.org/",https://cmake.org/,https://cmake.org/cmake/help/latest/,,,,,,,
cmake-3.19.5-gcc-9.3.0-6hw3usg,KyRIC,,Utilities,,,"CMake is the de-facto standard for building C++ code, with over 2 million downloads a month. It’s a powerful, comprehensive solution for managing the software build process. Description Source=https://cmake.org/",https://cmake.org/,https://cmake.org/cmake/help/latest/,,,,,,,
cmd,OOKAMI,,,,,,,,,,,,,,
cmjob,"Expanse, OOKAMI",,,,,,,,,,,,,,
coinutils,Rockfish,,,,,"CoinUtils is an open-source collection of classes and helper functions that are generally useful to multiple COIN-OR projects. The project includes classes for storing and manipulating sparse matrices and vectors, performing matrix factorization, parsing input files in standard formats, building representations of mathematical programs, comparing floating point numbers with a tolerance, etc. Description Source=https://www.coin-or.org/projects/#ffs-tabbed-12 ",https://www.coin-or.org/,https://coin-or.github.io/CoinUtils/Doxygen/modules.html,,,,,,,
ColabFold,ACES,application,Bioinformatics,,,"ColabFold is a web-based tool that leverages artificial intelligence to predict protein structures rapidly and accurately, making cutting-edge protein folding accessible to researchers without requiring extensive computational resources. It builds on the technology of AlphaFold by DeepMind, providing a user-friendly platform for scientific exploration and discovery in the field of bioinformatics and structural biology.",https://github.com/sokrypton/ColabFold,https://github.com/sokrypton/ColabFold,,,,,,,
Comp-D_MPI,Rockfish,,,,,,,,,,,,,,
compiler,KyRIC,,,,,,,,,,,,,,
compiler-rt,KyRIC,,,,,,,,,,,,,,
compiler-rt32,KyRIC,,,,,,,,,,,,,,
compiler32,KyRIC,,,,,,,,,,,,,,
Comsol,DARWIN,application,"simulation, multiphysics",Engineering,,"COMSOL is an advanced simulation software that provides a finite element analysis, solver, and multiphysics simulation capabilities. It allows for the modeling of complex engineering and scientific problems involving coupled phenomena across fields like electromagnetics, mechanics, fluid dynamics, and chemical engineering, offering a versatile platform for both research and industrial applications.",https://www.comsol.com/,https://doc.comsol.com/6.2/docserver/#!/com.comsol.help.comsol/helpdesk/helpdesk.html,,,,DARWIN: https://docs.hpc.udel.edu/software/comsol/comsol,,,
Conda,Bridges-2,service,environment,,,"Conda provides package, dependency, and environment management for any language. Description Source=https://docs.conda.io/en/latest/",https://docs.conda.io/en/latest/,https://docs.conda.io/en/latest/,,,,,,,
CoordgenLibs,ACES,library,,,,"This is Schrödinger, Inc's 2D coordinate generation. CoordgenLibs is a computational library used for automatically generating 2D coordinates for molecular structures, facilitating their visualization and analysis in chemical informatics and drug design applications. It is part of the Schrödinger suite, designed to produce chemically meaningful and aesthetically pleasing representations of molecules.",https://github.com/schrodinger/coordgenlibs,https://github.com/schrodinger/coordgenlibs,,,,,,,
CP2K,"ACES, Bridges-2",application,"simulation, modeling, quantum chemistry, physics",Sciences,Chemistry,"CP2K is a quantum chemistry and solid state physics software package that can perform atomistic simulations of solid state, liquid, molecular, periodic, material, crystal, and biological systems. Description Source=https://www.cp2k.org/",https://www.cp2k.org/,https://manual.cp2k.org/trunk/,,,,,/apps/spack/anvil/apps/cp2k/8.2-gcc-11.2.0-ntnukes/bin,,
CPE,OOKAMI,,,,,,,,,,,,,,
CPE-nosve,OOKAMI,,,,,,,,,,,,,,
cppy,ACES,library,,,,A small C++ header library which makes it easier to write Python extension modules. The primary feature is a PyObject smart pointer which automatically handles reference counting and provides convenience methods for performing common object operations. Description Source=https://github.com/nucleic/cppy,https://github.com/nucleic/cppy,https://cppy.readthedocs.io/en/latest/,,,,,,,
cryptsetup-2.3.1-gcc-9.3.0-bq4hfrl,KyRIC,,,,,,,,,,,,,,
cuda,"Jetstream2, OOKAMI, ACES, Delta, Bridges-2, Rockfish",toolkit,"environment, AI",,,"The NVIDIA® CUDA® Toolkit provides a development environment for creating high performance GPU-accelerated applications. With the CUDA Toolkit, you can develop, optimize, and deploy your applications on GPU-accelerated embedded systems, desktop workstations, enterprise data centers, cloud-based platforms and HPC supercomputers. Description Source=https://developer.nvidia.com/cuda-toolkit",https://developer.nvidia.com/cuda-toolkit,https://docs.nvidia.com/cuda/,,,,,,,
CUDAcore,ACES,,,,,CUDA (formerly Compute Unified Device Architecture) is a parallel computing platform and programming model created by NVIDIA and implemented by the graphics processing units (GPUs) that they produce. CUDA gives developers access to the virtual instruction set and memory of the parallel computational elements in CUDA GPUs. Description Source=https://hprc.tamu.edu/software/aces/#,https://developer.nvidia.com/cuda-toolkit,https://docs.nvidia.com/cuda/,,,,,,,
cuDF,ACES,library,,,,"cuDF is a GPU DataFrame library for loading joining, aggregating, filtering, and otherwise manipulating data. cuDF leverages libcudf, a blazing-fast C++/CUDA dataframe library and the Apache Arrow columnar format to provide a GPU-accelerated pandas API. Description Source=https://github.com/rapidsai/cudf",https://github.com/rapidsai/cudf,https://docs.rapids.ai/api/cudf/stable/user_guide/,,,,,,,
cudnn,"ACES, Delta, Rockfish",,,,,"The NVIDIA CUDA® Deep Neural Network (cuDNN) is a GPU-accelerated library of primitives for deep neural networks. cuDNN provides highly tuned implementations for standard routines such as forward and backward convolution, attention, matmul, pooling, and normalization. Description Source=https://docs.nvidia.com/cudnn/index.html",https://developer.nvidia.com/cudnn,https://docs.nvidia.com/cudnn/index.html,,,,,,,
cue-login-env,"Expanse, Delta",,,,,,,,,,,,,,
cufflinks,Rockfish,,Bioinformatics,Sciences,Biology,,,,,,,,,,
CuPy,ACES,library,,,,"CuPy is an open-source array library for GPU-accelerated computing with Python. CuPy utilizes CUDA Toolkit libraries including cuBLAS, cuRAND, cuSOLVER, cuSPARSE, cuFFT, cuDNN and NCCL to make full use of the GPU architecture. Description Source=https://cupy.dev/",https://cupy.dev/,https://docs.cupy.dev/en/stable/user_guide/index.html,,,,,,,
curl,"OOKAMI, Anvil, ACES, Rockfish",,Data transfer tool,,,cURL is a command line tool and library for transferring data with URLs. Description Source=https://curl.se/,https://curl.se/,https://curl.se/docs/,,,,,,,
curl-7.74.0-gcc-9.3.0-e6rhv5y,KyRIC,,DAta transfer tool,,,,,,,,,,,,
cutadapt,"Bridges-2, Rockfish",,Bioinformatics,,,,,,,,,,,,
cuTENSOR,ACES,library,,,,"NVIDIA cuTENSOR is a GPU-accelerated tensor linear algebra library for tensor contraction, reduction, and elementwise operations. Using cuTENSOR, applications can harness the specialized tensor cores on NVIDIA GPUs for high-performance tensor computations and accelerate deep learning training and inference, computer vision, quantum chemistry, and computational physics workloads. Description Source=https://developer.nvidia.com/cutensor",https://developer.nvidia.com/cutensor,https://docs.nvidia.com/cuda/cutensor/latest/index.html,,,,,,,
Cython,ACES,,,,,Cython is an optimising static compiler for both the Python programming language and the extended Cython programming language (based on Pyrex). It makes writing C extensions for Python as easy as Python itself. Description Source=https://cython.org/,https://cython.org/,https://cython.readthedocs.io/en/latest/,,,,,,,
cython-blis,ACES,,,,,"Fast BLAS-like operations from Python and Cython, without the tears. This repository provides the Blis linear algebra routines as a self-contained Python C-extension. Description Source=https://github.com/explosion/cython-blis",https://github.com/explosion/cython-blis,https://github.com/explosion/cython-blis,,,,,,,
dakota,"Stampede-2, Rockfish",,,,,,,,,,,,,,
dal,KyRIC,,,,,,,,,,,,,,
dask,ACES,,,,,"Dask makes it easy to scale the Python libraries that you know and love like NumPy, pandas, and scikit-learn. It also allows you to Parallelize any Python code with Dask Futures, letting you scale any function and for loop, and giving you control and power in any situation. Description Source=https://www.dask.org/",https://www.dask.org/,https://docs.dask.org/en/stable/,,,,,,,
DB,ACES,,,,,,,,,,,,,,
DBus,ACES,,,,,"D-Bus is a message bus system, a simple way for applications to talk to one another. In addition to interprocess communication, D-Bus helps coordinate process lifecycle; it makes it simple and reliable to code a ""single instance"" application or daemon, and to launch applications and daemons on demand when their services are needed. Description Source=https://www.freedesktop.org/wiki/Software/dbus/",https://www.freedesktop.org/wiki/Software/dbus/,https://www.freedesktop.org/wiki/Software/dbus/#documentation,,,,,,,
DCMTK,ACES,,,,,"DCMTK is a collection of libraries and applications implementing large parts the DICOM standard. It includes software for examining, constructing and converting DICOM image files, handling storage media, sending and receiving images over a network connection, as well as demonstrative image storage and worklist servers. Description Source=https://dicom.offis.de/dcmtk/",https://dicom.offis.de/dcmtk/,https://support.dcmtk.org/docs/,,,,,,,
DDT,"Stampede-2, Bridges-2",,,,,,,,,,,,,,
ddt_knl,Stampede-2,,,,,,,,,,,,,,
ddt_skx,Stampede-2,,,,,,,,,,,,,,
deal.ii,Bridges-2,,,,,,,,,,,,,,
dealii,Stampede-2,,,,,,,,,,,,,,
debugger,KyRIC,,,,,,,,,,,,,,
deepdiff,ACES,library,,,,"DeepDiff is a Python library that provides comprehensive and detailed diffing capabilities, allowing for the deep comparison of data structures within Python. It is capable of identifying differences between dictionaries, lists, sets, and other complex data types, making it highly useful for tasks that require detailed tracking of changes or discrepancies in data over time, such as data analysis, testing, and debugging.",https://zepworks.com/deepdiff/current/,https://zepworks.com/deepdiff/current/,,,,,,,
DeepLabCut,Rockfish,,,,,,,,,,,,,,
deeptools,Stampede-2,,Bioinformatics,Sciences,Biology,,,,,,,,,,
default,Delta,,,,,,,,,,,,,,
default-environment,Expanse,,,,,,,,,,,,,,
dev-utilities,KyRIC,,,,,,,,,,,,,,
dftd4,Rockfish,,,,,,,,,,,,,,
diffutils-3.7-gcc-9.3.0-sk5ev4k,KyRIC,,Utilties,,,,,,,,,,,,
dill,ACES,,,,,dill extends Python’s pickle module for serializing and de-serializing Python objects to the majority of the built-in Python types. Description Source=https://dill.readthedocs.io/en/latest/,https://pypi.org/project/dill/,https://dill.readthedocs.io/en/latest/,,,,,,,
dimemas,KyRIC,,,,,,,,,,,,,,
dm-tree,ACES,library,,,,"dm-tree is a python library for working with nested data structures. In a way, tree generalizes the builtin map function which only supports flat sequences, and allows to apply a function to each ""leaf"" preserving the overall structure. Description Source=https://github.com/google-deepmind/tree",https://github.com/google-deepmind/tree,https://tree.readthedocs.io/en/latest/,,,,,,,
dmtcp,Rockfish,,Intel AI/ML,,,,,,,,,,,,
dnnl,KyRIC,,Intel AI/ML,,,,,,,,,,,,
dnnl-cpu-gomp,KyRIC,,Intel AI/ML,,,,,,,,,,,,
dnnl-cpu-iomp,KyRIC,,Intel AI/ML,,,,,,,,,,,,
dnnl-cpu-tbb,KyRIC,,Intel AI/ML,,,,,,,,,,,,
dorado,ACES,,Bioinformatics,Sciences,Biology,"Dorado is a high-performance, easy-to-use, open source basecaller for Oxford Nanopore reads. Description Source=https://github.com/nanoporetech/dorado",https://nanoporetech.com/,https://github.com/nanoporetech/dorado,,,,,,,
dos2unix,Delta,,Utilties,,,,,,,,,,,,
dot,OOKAMI,,,,,,,,,,,,,,
double-conversion,ACES,library,,,,Double-Conversion provides binary-decimal and decimal-binary routines for IEEE doubles. This library consists of efficient conversion routines that have been extracted from the V8 JavaScript engine. Description Source=https://github.com/google/double-conversion,https://github.com/google/double-conversion?tab=readme-ov-file,https://github.com/google/double-conversion,,,,,,,
doxygen,"OOKAMI, ACES, Rockfish",,,,,"Doxygen is a widely-used documentation generator tool in software development. It automates the generation of documentation from source code comments, parsing information about classes, functions, and variables to produce output in formats like HTML and PDF. Description Source=https://www.doxygen.nl/",https://www.doxygen.nl/,https://www.doxygen.nl/manual/index.html,,,,,,,
dpct,KyRIC,,,,,,,,,,,,,,
dpl,KyRIC,,,,,,,,,,,,,,
dream3d,Rockfish,,,,,,,,,,,,,,
DReAMM,Bridges-2,,,,,,,,,,,,,,
Dsuite,Rockfish,,,,,,,,,,,,,,
EasyBuild,"KyRIC, ACES",,Software Repo,,,EasyBuild is a software build and installation framework that allows you to manage (scientific) software on High Performance Computing (HPC) systems in an efficient way. Description Source=https://docs.easybuild.io/what-is-easybuild/,https://easybuild.io/,https://docs.easybuild.io/,,,,,,,
EasyBuild-aces,ACES,,Software Repo,,,EasyBuild environment variables for building system software in /tmp and installing in /sw/eb on aces.hprc.tamu.edu Description Source=https://hprc.tamu.edu/software/aces/#,https://easybuild.io/,https://docs.easybuild.io/,,,,,,,
EasyBuild-aces-myeb,ACES,,Software Repo,,,User EasyBuild environment for aces.hprc.tamu.edu in $SCRATCH/eb. Description Source=https://hprc.tamu.edu/software/aces/#,https://easybuild.io/,https://docs.easybuild.io/,,,,,,,
EasyBuild-aces-SCRATCH,ACES,,Software Repo,,,User EasyBuild environment for aces.hprc.tamu.edu in $SCRATCH/eb. Description Source=https://hprc.tamu.edu/software/aces/#,https://easybuild.io/,https://docs.easybuild.io/,,,,,,,
EasyBuild-aces-tmp,ACES,,Software Repo,,,EasyBuild environment variables for building in /tmp and installing in /sw/eb on aces.hprc.tamu.edu. Description Source=https://hprc.tamu.edu/software/aces/#,https://easybuild.io/,https://docs.easybuild.io/,,,,,,,
ecBuild,ACES,,,,,"ECbuild is a CMake-based build system, consisting of a collection of CMake macros and functions that ease the managing of software build systems. Description Source=https://github.com/ecmwf/ecbuild",https://github.com/ecmwf/ecbuild,https://ecbuild.readthedocs.io/en/latest/,,,,,,,
ecCodes,ACES,,,,,ecCodes is a package developed by ECMWF which provides an application programming interface and a set of tools for decoding and encoding messages in different WMO formats. Description Source=https://github.com/ecmwf/eccodes,https://github.com/ecmwf/eccodes,https://confluence.ecmwf.int/display/ECC/Documentation,,,,,,,
eckit,Rockfish,,,,,,,,,,,,,,
edgeR,Rockfish,,,,,,,,,,,,,,
eigen,"Stampede-2, Anvil, ACES",library,,,,"Eigen is a C++ template library for linear algebra: matrices, vectors, numerical solvers, and related algorithms. Description Source=https://eigen.tuxfamily.org/index.php?title=Main_Page",https://eigen.tuxfamily.org/,https://eigen.tuxfamily.org/dox/,,,,,,,
einops,ACES,,,,,"Einops is a python library which allows for Flexible and powerful tensor operations for readable and reliable code. Supports numpy, pytorch, tensorflow, jax, and others.  Description Source=https://github.com/arogozhnikov/einops",https://einops.rocks/,https://einops.rocks/#tutorials,,,,,,,
elemental,Stampede-2,,,,,,,,,,,,,,
elfutils,ACES,,Utilities,,,"elfutils is a collection of utilities and libraries to read, create and modify ELF binary files, find and handle DWARF debug data, symbols, thread state and stacktraces for processes and core files on GNU/Linux. Description Source=https://sourceware.org/elfutils/",https://sourceware.org/elfutils/,,,,,,,,
