software name,RP Name,Description,core features,tags,software type,software class,research field,research area,research discipline,Software's Web Page,Software Documentation,Tutorials
mafft,"aces, anvil, expanse, faster",MAFFT is a multiple sequence alignment program for amino acid or nucleotide sequences. It offers a range of algorithms and options for improving alignment quality.,"Some core features of MAFFT include progressive alignment, iterative refinement, support for large datasets, alignment extension, and compatibility with commonly used formats.","Bioinformatics, Sequence Alignment, Phylogenetics",Bioinformatics Tool,Sequence Alignment,Biological Sciences,Genetics,Bioinformatics,,,
r-cellchat,anvil,R-cellchat is an R package designed for the analysis of single-cell RNA sequencing data to identify cell-cell communication networks.,"The software enables users to characterize ligand-receptor interactions, infer cell-cell communication networks, and visualize the results in an interactive and interpretable manner. It provides modules for preprocessing scRNA-seq data, identifying differentially expressed genes, and predicting ligand-receptor pairs.","single-cell RNA sequencing, cell-cell communication, network analysis",Bioinformatics Tool,Data Analysis,Biological Sciences,Computational Biology,Bioinformatics,,,
lasso-python,aces,"Lasso-python is a Python library that provides tools for lasso regression, a linear regression technique that performs variable selection and regularization to improve the model's prediction and interpretability.","1. Implements lasso regression for feature selection and regularization. 
2. Helps in reducing overfitting by penalizing the absolute size of the regression coefficients. 
3. Supports various optimization algorithms for efficient model fitting. 
4. Allows users to tune the regularization parameter for optimal model performance.","Python Library, Machine Learning, Regression Analysis",Library,Data Analysis,Mathematics,Applied Mathematics,Statistics and Probability,https://github.com/open-lasso-python/lasso-python,https://open-lasso-python.github.io/lasso-python/,"https://open-lasso-python.github.io/lasso-python/dyna/#d3plot-example , https://open-lasso-python.github.io/lasso-python/femzip/ "
devel,,"Devel is a software development tool for managing software projects and version control. It provides features for tracking changes in source code, managing multiple versions, and collaborating with other developers.","Version control, project management, collaboration tools","software development, version control, collaboration",Version Control,Development Tools,Engineering and Technology,,,,,
py-htseq,expanse,"Py-htseq is a high-throughput sequencing (HTS) analysis tool in Python designed to process and analyze mapped sequence data, particularly for RNA-seq experiments. It facilitates gene expression analysis by counting reads that align to features in the reference genome or transcriptome.","Processing mapped sequence data, Gene expression analysis, Counting reads aligned to features in reference genome/transcriptome","HTS analysis, RNA-seq, Sequence data processing, Gene expression, Transcriptomics",Sequence analysis tool,Bioinformatics tool,Biological Sciences,Genomics,Bioinformatics,,,
cd-hit,"aces, anvil, faster","cd-hit is a widely used program for clustering and comparing protein or nucleotide sequences. It clusters a large set of sequences to reduce redundancy and generate a non-redundant representative set. This tool is beneficial for sequence analysis, especially in bioinformatics studies.","1. Clustering of protein or nucleotide sequences
2. Reducing redundancy in large sequence datasets
3. Generating non-redundant representative sequences
4. Alignment-based and word-counting algorithms
5. Various clustering and similarity threshold options","sequence analysis, clustering, bioinformatics",Bioinformatics software,Clustering tool,Biological Sciences,Sequence analysis,Bioinformatics,,,
zluda,darwin,"ZLUDA is a CUDA driver and runtime API compatibility layer for AMD GPUs, allowing CUDA applications to run on AMD hardware.",1. Provides CUDA driver and runtime API compatibility for AMD GPUs. 2. Enables CUDA applications to run seamlessly on AMD hardware. 3. Supports a wide range of CUDA features and functionalities. 4. Optimizes performance for CUDA workloads on AMD GPUs.,"CUDA, AMD, GPU, compatibility layer",Runtime Environment,Compatibility Layer,Computer and Information Sciences,Applied Computer Science,Computer Science,,,
qemu,anvil,"QEMU is a generic and open-source machine emulator and virtualizer that supports executing different operating systems and programs on a host operating system. It provides full system simulation, allowing users to run virtual machines with various architectures (x86, ARM, PowerPC, etc.) on a wide range of host platforms. QEMU can be used for various purposes such as development, testing, debugging, and virtualization.","Full system emulation, Virtualization support, Dynamic translation, User-mode emulation, Snapshots, Live migration","Virtualization, Emulation, System development",Virtual Machine Emulator,Virtualization & Emulation,Computer and Information Sciences,,,https://github.com/qemu/qemu,https://www.qemu.org/docs/master/,
cyvcf2,anvil,CyVCF2 is a fast and efficient Python interface for reading and writing Variant Call Format (VCF) files. It provides a high-level API that simplifies the manipulation and analysis of genetic variants.,"1. Read and write VCF files efficiently.
2. Extract genetic variants and associated information.
3. Filter variants based on user-defined criteria.
4. Perform complex genomic analyses and comparisons.
5. Integrate seamlessly with other Python libraries for genomics.","genomics, VCF, variant calling, Python",Library,Computational,Biological Sciences,Genomics,Bioinformatics,,,
knime,bridges,"KNIME is an open-source data analytics, reporting, and integration platform. It allows users to visually design data flows, execute data processing, data cleansing, analysis, and reporting without needing to write any code.","Some key features of KNIME include visual programming, support for various data formats and sources, integration with other data science tools such as Python and R, extensive set of data manipulation and analysis nodes, advanced machine learning capabilities, and scalability for big data processing.","data analytics, data integration, data visualization",Data Analysis Tool,Data Analytics Platform,Computer and Information Sciences,Data Science,"Informatics, Analytics, and Information Science",,,
setuptools,aces,"Setuptools is a package development process library designed to facilitate packaging Python projects. It allows developers to specify project metadata, declare project dependencies, and create distributable packages that can be easily installed using the Python package manager, pip.","Project metadata specification, Dependency declaration, Package distribution creation, Integration with pip for installation","Python packaging, Package management, Dependency management",Library,Development tools,Computer Science,,,,,
vasp,"aces, anvil, bridges, expanse, faster, stampede3","VASP (Vienna Ab-initio Simulation Package) is a computer program for atomic scale materials modelling, e.g. electronic structure calculations and quantum-mechanical molecular dynamics, from first principles.","Some core features of VASP include Density Functional Theory (DFT) calculations, plane-wave basis sets, ultrasoft pseudopotentials, and various methods for structure optimization and molecular dynamics simulations.","materials modelling, electronic structure calculations, quantum-mechanical simulations, DFT calculations, molecular dynamics",,,"Physical Sciences, Engineering and Technology",,,https://www.vasp.at/,https://www.vasp.at/wiki/index.php/The_VASP_Manual,"https://www.vasp.at/wiki/index.php/Welcome , https://www.vasp.at/tutorials/latest/ , https://www.vasp.at/wiki/index.php/Category:Examples , https://www.youtube.com/channel/UCBATkNZ7pkAXU9tx7GVhlaw "
fastani,"anvil, bridges",fastANI is a tool for computing average nucleotide identity (ANI) and relatedness between bacterial and archaeal genomes at high speed. It uses MinHash to estimate ANI values in a fraction of the time compared to traditional methods.,1. Calculation of average nucleotide identity (ANI) between microbial genomes. 2. Utilizes MinHash algorithm for fast ANI estimation. 3. Supports large-scale genome comparisons efficiently. 4. Provides a rapid alternative to traditional ANI calculation methods.,"bioinformatics, genome comparison, bacterial genomes",Genome analysis tool,Bioinformatics tool,Biological Sciences,Genomics,Biology,https://github.com/ParBLiSS/FastANI,https://github.com/ParBLiSS/FastANI/blob/master/README.md,https://hackmd.io/@AstrobioMike/Nadjet-fastANI-example
sionlib,"aces, kyric","Sionlib is a library that provides an I/O interface for scientific data stored in self-describing Hierarchical Data Format (HDF5) files, often used in high-performance computing applications. It offers functionalities for reading and writing data, metadata management, and dataset manipulation, making it a valuable tool for handling complex scientific data structures.",1. Supports reading and writing data in HDF5 format. 2. Enables efficient management of metadata associated with scientific datasets. 3. Facilitates manipulation and processing of multidimensional data arrays. 4. Offers a user-friendly I/O interface for seamless data access.,"I/O interface, scientific data, HDF5 files",I/O Interface,Library,Computer and Information Sciences,,,"https://www.fz-juelich.de/en/ias/jsc/services/user-support/software-tools/sionlib?expand=translations,fzjsettings,nearest-institut",https://apps.fz-juelich.de/jsc/sionlib/docu/current/,"https://apps.fz-juelich.de/jsc/sionlib/docu/current/util_page.html , https://apps.fz-juelich.de/jsc/sionlib/docu/current/examples.html "
beagle,anvil,Beagle is a high-performance software library for phylogenetic inference using maximum likelihood methods. It can be used for reconstructing large phylogenetic trees from molecular sequence data with high efficiency and accuracy.,"Beagle offers support for a wide range of DNA and protein substitution models, parallel processing on multiple CPU cores, and SIMD vectorization to accelerate likelihood calculations. It also includes functionalities for handling large datasets efficiently.","phylogenetic inference, maximum likelihood, molecular sequence data, parallel processing, likelihood calculations",Library,Computational Biology,Biological Sciences,Phylogenetics,Genetics,,,
psycopg2,"aces, faster","Psycopg is a popular PostgreSQL database adapter for the Python programming language. It provides a robust, efficient, and well-supported interface for interacting with PostgreSQL databases from Python applications.","Allows Python applications to connect to and interact with PostgreSQL databases, Supports various PostgreSQL features such as server-side cursors and asynchronous communication, Facilitates executing SQL commands, managing transactions, and fetching query results efficiently, Provides a high level of compatibility with Python DB-API specification for database programming, Offers good performance and reliability for database operations","Python library, Database adapter, PostgreSQL, Data management",Database Adapter,Data Management Tools,Computer and Information Sciences,,,,,
dlib,faster,"dlib is a modern C++ toolkit containing machine learning algorithms and tools for creating complex software in C++ to solve real world problems. It is used in a wide range of applications including computer vision, face detection, object detection, facial landmarks, pose estimation, and more.","Machine learning algorithms, Computer vision, Face detection, Object detection, Facial landmarks, Pose estimation","machine learning, computer vision, object detection, facial recognition, pose estimation",Library,Toolkit,"Computer and Information Sciences, Computer Science",,,,,
ffnvcodec,"aces, faster",ffnvcodec is a codec library provided by NVIDIA for efficient video encoding and decoding using the NVIDIA GPU hardware acceleration.,"1. Hardware-accelerated video encoding and decoding with NVIDIA GPUs
2. Support for popular video codecs such as H.264 and HEVC
3. High-performance video processing
4. Integration with NVIDIA CUDA technology for parallel processing","codec, video processing, GPU acceleration",Library,Codec Library,Computer and Information Sciences,,,https://github.com/FFmpeg/nv-codec-headers,https://github.com/FFmpeg/nv-codec-headers/blob/master/README,
ior,"delta, expanse",ior is a versatile software tool for analyzing and optimizing input/output (I/O) performance in high-performance computing (HPC) systems. It is designed to assess and improve the efficiency of data transfer operations in parallel computing environments.,"I/O performance analysis, Parallel I/O optimization, Benchmarking, Profiling","high-performance computing, parallel computing, I/O optimization",Utility software,Performance analysis tool,Computer Science,High-performance computing,Computer Science,,,
bismark,"anvil, bridges, expanse",Bismark is a software tool specifically designed for aligning bisulfite treated DNA sequencing reads and methylation calls. It is widely used in epigenetics research to analyze DNA methylation patterns.,"1. Alignment of bisulfite treated DNA sequencing reads
2. Identification of methylated cytosines
3. Differential methylation analysis
4. Visualization of methylation patterns
5. Compatibility with various sequencing platforms and data formats","epigenetics, DNA methylation, bisulfite sequencing, genomics, bioinformatics",Alignment and Methylation Analysis,Bioinformatics,Biological Sciences,Epigenetics,Genomics,https://www.bioinformatics.babraham.ac.uk/projects/bismark/,https://felixkrueger.github.io/Bismark/,https://felixkrueger.github.io/Bismark/bismark/
pnetcdff,stampede3,Parallel netCDF (pnetCDF) is a library providing high-performance I/O facilities for applications running on parallel distributed computing platforms. It is built on top of the widely-used netCDF file format and offers parallel I/O capabilities for reading and writing data in a scalable and efficient manner.,"Parallel I/O support, High-performance data access, Compatible with netCDF file format, Scalability on distributed computing platforms","Parallel I/O, Data access, Distributed computing, High performance computing",I/O Library,Library,Computer and Information Sciences,,,,,
blast-plus,"anvil, expanse",BLAST+ (Basic Local Alignment Search Tool) is a suite of command-line tools for nucleotide and protein sequence similarity searches. It is widely used for comparing query sequences against a database of sequences to identify homologous sequences and infer functional and evolutionary relationships.,"Nucleotide and protein sequence similarity searches, Identification of homologous sequences, Functional and evolutionary relationship inference, Command-line interface for flexible and customized searches, Various search algorithms including BLASTN, BLASTP, BLASTX, and others, Support for large sequence databases, Statistical significance evaluation of search results","sequence analysis, bioinformatics, sequence similarity, homology, evolutionary relationships",bioinformatics tool,sequence analysis software,Biological Sciences,,,,,
intel-python,"darwin, faster","Intel Distribution for Python is a distribution of the Python programming language that includes optimized numerical libraries from Intel to improve performance on Intel processors. It provides high-performance tools for machine learning, scientific computing, data analysis, and more.","1. Optimized numerical libraries for faster execution on Intel processors
2. Integration with popular Python packages like NumPy, SciPy, and scikit-learn
3. Enhanced performance for machine learning algorithms and data processing
4. Support for parallel processing and optimization for Intel architecture
5. Compatibility with commonly used Python environments and tools","Python Distribution, Optimized Libraries, Machine Learning, Data Analysis, Scientific Computing",Python Distribution,Development Tools,Computer and Information Sciences,Applied Computer Science,Computer Science,,,
db_file,faster,"db_file is a software tool designed for managing and manipulating database files. It provides functionalities for creating, modifying, querying, and extracting data from database files.","Create and manage database files, Execute queries on database files, Extract data from database files, Modify and update database files","database management, data manipulation, querying, data extraction",tool,database management,Computer and Information Sciences,,,,,
merqury,anvil,"Merqury is a computational tool designed for efficient and accurate quantification of mappable k-mers in noisy long-read assemblies, with a focus on repeat resolution in the presence of high error rates.","1. Quantification of mappable k-mers
2. Addressing repeat resolution in noisy long-read assemblies
3. Handling high error rates
4. Analysis of repetitive regions in genomes","Computational tool, Genomics, Bioinformatics",Bioinformatics,Computational tool,Biological Sciences,Genomics,Biological Sciences,,,
quickmirseq,anvil,"quickmirseq is a fast and accurate tool for microRNA quantification from small RNA-Seq data. It utilizes an ultra-fast aligner for reads mapping and a novel algorithm for microRNA quantification, offering efficient processing of large datasets.",1. Ultra-fast aligner for mapping small RNA-Seq reads. 2. Novel algorithm for accurate microRNA quantification. 3. Efficient processing of large-scale small RNA-Seq datasets. 4. User-friendly interface for ease of use and interpretation of results.,"bioinformatics, computational biology, microRNA quantification",Data Analysis Tool,Bioinformatics tool,Biological Sciences,Molecular Biology,Genetics,,,
quast,anvil,QUAST (Quality Assessment Tool for Genome Assemblies) is a software tool used for evaluating and comparing genome assemblies. It generates various metrics and statistics to assess the quality and accuracy of genomic assemblies.,"1. Evaluate completeness and correctness of genome assemblies
2. Generate detailed reports and visualizations of assembly metrics
3. Support for assessing assemblies from various sequencing platforms
4. Identify misassemblies, genome coverage, and other assembly errors
5. Compare multiple assemblies to identify the best one","Genome Assembly, Bioinformatics, Quality Assessment",Stand-Alone Tool,Genomics Tools,Biological Sciences,Genome Assembly,Genomics,,,
abpoa,anvil,ABPOA (adaptive bi-path overlap aligner) is a multiple sequence alignment tool that employs a novel bi-path structure to generate pairwise alignments between sequences for constructing a multiple sequence alignment. It is designed to align long noisy read sequences efficiently and accurately by adapting to local alignment conditions.,"1. Utilizes a bi-path structure for pairwise sequence alignment
2. Designed for aligning long noisy read sequences
3. Adapts to local alignment conditions to improve accuracy
4. Efficient and scalable for handling large datasets","multiple sequence alignment, sequence alignment, long read sequences",Alignment Tool,Bioinformatics,Biological Sciences,Comparative Genomics,Genetics,,,
microbedmm,anvil,"MicrobeDMM is a software tool for the prediction of microbial community dynamics and metabolic interactions. It enables users to simulate the growth and interactions of multiple microbial species in a community, taking into account environmental factors and metabolic pathways.","Prediction of microbial community dynamics, Simulation of microbial growth and interactions, Consideration of environmental factors, Analysis of metabolic pathways, Visualization of community dynamics","Microbial Community Dynamics, Metabolic Interactions, Simulation Tool, Bioinformatics",Bioinformatics Tool,Simulation Tool,Biological Sciences,Environmental Biology,Biological Sciences,,,
pdt,"aces, darwin","Program Database Toolkit (PDT) is a framework for analyzing source code written in several programming languages and for making rich program knowledge accessible to developers, analysts, and creating tools for source code understanding.","PDT analyzes multiple programming languages, builds abstract syntax trees, control-flow graphs, program dependence graphs, and call graphs; provides a rich API for programmatic access to analyzed programs; supports interactive development of program analysis methods; and enables the development of new program understanding tools.","software, programming, source code, analysis",Tools,,Computer and Information Sciences,,,,,
bustools,anvil,"bustools is a software package for manipulating single-cell RNA-seq data and performing various analysis tasks such as mapping, quantification, error correction, and filtering. It is specifically designed for analyzing droplet-based single-cell RNA-seq data generated from technologies like 10X Genomics' Chromium platform.","Mapping reads to a reference genome, Quantifying unique molecular identifiers (UMIs), Filtering input data based on quality metrics, Error correcting UMIs for greater accuracy, Clustering cells and analyzing expression profiles","Single-cell RNA-seq, Data analysis, Bioinformatics, Computational biology",Bioinformatics tool,Data analysis tool,Biological Sciences,Genomics,Bioinformatics,,,
fosscuda,"aces, faster",FOSSCUDA stands for Free and Open-Source Software for CUDA (Compute Unified Device Architecture) and is a collection of tools and libraries that enable developers to leverage the power of NVIDIA GPUs for parallel computing tasks.,1. Provides open-source alternatives to proprietary CUDA tools. 2. Enables accelerated computing on NVIDIA GPUs. 3. Supports parallel processing and high-performance computing applications. 4. Includes libraries and frameworks for GPU-accelerated programming.,"CUDA, GPU computing, Parallel programming, Open-source",Compiler/Library,Software Development/Tools,Computer and Information Sciences,Artificial Intelligence and Intelligent Systems,Computer Science,,,https://docs.easybuild.io/version-specific/toolchain-opts/#fosscuda
libepoxy,"aces, faster",libepoxy is a library for handling OpenGL function pointer management. It makes it easy to call OpenGL functions and to know when extensions are available.,"Handles OpenGL function pointer management, Facilitates calling OpenGL functions, Indicates availability of OpenGL extensions","OpenGL, Library, Graphics",Development,Library,Computer and Information Sciences,,,https://github.com/anholt/libepoxy,https://github.com/anholt/libepoxy/blob/master/README.md,https://github.com/anholt/libepoxy#switching-your-code-to-using-epoxy
proteinortho,anvil,ProteinOrtho is a versatile standalone tool for detecting orthologous proteins across multiple species. It generates ortholog groups based on pairwise comparison of proteins and supports different orthology definitions for accurate ortholog detection.,"1. Detects orthologous proteins in multiple species
2. Supports different orthology definitions
3. Performs pairwise protein comparisons for accurate ortholog detection
4. Can handle large-scale datasets efficiently
5. Provides options for customization and parameter tuning","bioinformatics, protein orthology, ortholog detection",Bioinformatics Tool,Computational Biology,Biological Sciences,Genetics,Biological Sciences,,,
aocc,"aces, anvil, bridges, delta, expanse, faster, ookami","The AMD Optimizing C/C++ Compiler (AOCC) is a high performance compiler suite with support for C, C++, and Fortran programming languages.","AOCC is designed to provide high performance on AMD processors by leveraging advanced optimizations and features specific to AMD architectures. It offers enhanced vectorization, link-time optimization, and improved code generation.","compiler, C, C++, Fortran, optimization",,Compiler,Computer and Information Sciences,,,https://www.amd.com/en/developer/aocc.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-2-documents/aocc/aocc-4.2-user-guide.pdf,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-2-documents/aocc/aocc-4.2-readme.txt
nostack,expanse,nostack is a platform that allows users to visually design and build custom web and mobile applications without writing code. It provides a visual interface for drag-and-drop creation of applications.,"Visual application design, Drag-and-drop interface, No-code development, Web and mobile application creation","Visual Development, No-code Platform, Application Design, Web Development",Development Platform,Application Development,"Engineering and Technology, Computer and Information Sciences",,,,,
monitor,anvil,"A monitor is an electronic visual display for computers. It usually consists of a screen, circuitry, and casing. The display device in modern monitors is typically a thin film transistor liquid crystal display (TFT-LCD) or a flat panel LED display, while older monitors used a cathode ray tube (CRT). Monitors are used to display output from the computer's graphics card, allowing users to interact with the computer and its software.","1. Display output from the computer's graphics card. 2. Allow users to interact with the computer and its software. 3. Show visual information in various resolutions and colors. 4. Can be integrated with speakers, USB hubs, and other functionalities.","technology, display, computer hardware",device,hardware,,,,,,
gatk,"aces, anvil, bridges, expanse, faster","The Genome Analysis Toolkit (GATK) is a widely used software package for variant discovery and genotyping analysis in high-throughput sequencing data. Developed by the Broad Institute, GATK provides a robust and comprehensive set of tools for processing raw sequencing data into accurate variant calls.","Core features of GATK include variant discovery, genotyping, recalibration of base quality scores, read alignment improvement, variant annotation, and various filtering and preprocessing steps. It supports a wide range of variant calling methodologies and has modules for germline and somatic variant detection.","variant calling, genotyping, sequencing analysis",Tool,Bioinformatics tool,Biological Sciences,,,https://gatk.broadinstitute.org/hc/en-us,https://gatk.broadinstitute.org/hc/en-us/articles/21904996835867--Tool-Documentation-Index,https://gatk.broadinstitute.org/hc/en-us/sections/360007226631-Tutorials
seidr,anvil,Seidr is a software package designed for the efficient and scalable estimation of relatedness and inbreeding coefficients from large-scale genomic data.,"Estimation of relatedness coefficients, Estimation of inbreeding coefficients, Support for large-scale genomic data, Efficient and scalable algorithms","Genomics, Relatedness, Inbreeding, Computational Biology",Bioinformatics Tool,Genomic Analysis Tool,Biological Sciences,Population Genetics,Genomics,,,
colossalai,faster,"ColossalAI is an open-source deep learning framework that focuses on large-scale distributed training and efficient model serving. It provides a unified platform for researchers and practitioners to build, train, and deploy deep learning models at scale.","1. Large-scale distributed training capabilities
2. Efficient model serving for deployment
3. Unified platform for building and training deep learning models
4. Support for a wide range of deep learning architectures and algorithms","deep learning framework, large-scale training, model serving",Open Source,Deep Learning Framework,Computer and Information Sciences,"Deep Learning, Machine Learning",Artificial Intelligence and Intelligent Systems,,,
annogesic,anvil,"ANNOgesic is a software tool designed to analyze RNA-seq data for the identification of various elements in bacterial genomes. It integrates multiple steps of RNA-seq analysis to predict transcription start sites (TSSs), operon structures, small RNAs, RNA-RNA interactions, and RNA motifs.","Identification of transcription start sites (TSSs), Prediction of operon structures, Detection of small RNAs, Analysis of RNA-RNA interactions, Identification of RNA motifs","RNA-seq analysis, Bacterial genomes, Transcription start sites, Operon structures, Small RNAs, RNA motifs, RNA-RNA interactions",Tool,Bioinformatics,Biological Sciences,Genetics,Biological Sciences,,,
vesta,aces,"VESTA is a 3D visualization software for structural models, volumetric data, and crystal structures. It allows users to manipulate and analyze complex molecular and crystal structures with a range of visualization options.","3D visualization of crystal structures and molecular models, Analysis tools for manipulating structures, Rendering options for creating high-quality images and animations, Support for various file formats for importing and exporting data","3D visualization, Crystallography, Molecular modeling, Structural analysis",Scientific software,Visualization software,Chemical Sciences,Analytical and Materials Chemistry,Chemical Sciences,,,
mmseqs2,anvil,MMseqs2 is a software suite for fast and sensitive sequence searching. It enables ultra-fast and sensitive sequence search and clustering functionality using a versatile and memory-efficient index data structure.,"Ultra-fast sequence searching, Sensitive sequence searching, Sequence clustering, Memory-efficient index data structure","Sequence Searching, Sequence Clustering, Bioinformatics, Computational Biology",Sequence Search and Clustering Tool,Bioinformatics Tool,Biological Sciences,,,,,
dualsphysics,faster,"DualSPHysics is a popular open-source computational fluid dynamics software package based on the Smoothed Particle Hydrodynamics (SPH) method. It allows for the simulation of free-surface flows, fluid-structure interactions, and complex fluid dynamics phenomena.","Smoothed Particle Hydrodynamics (SPH) simulations, Simulation of free-surface flows, Fluid-structure interactions modeling, Parallel computing capabilities, Open-source and customizable, User-friendly interface","Computational Fluid Dynamics, Fluid Dynamics, Open-source Software, Parallel Computing, SPH Method",Computational,Simulation Software,Physical Sciences,Computational Fluid Dynamics,Fluid Dynamics,,,
checkm,bridges,"CheckM is a software tool for assessing the quality of microbial genomes recovered from isolates, single cells, or metagenomes. It provides robust statistical evaluation of genome completeness and contamination, as well as identification of marker genes for phylogenetic placement.","Estimates genome completeness and contamination, Identifies marker genes for phylogenetic analysis, Supports analysis of microbial genomes from isolates, single cells, or metagenomes, Provides detailed reports and visualizations","Microbial Genomics, Genome Quality Assessment, Phylogenetic Analysis, Bioinformatics",Bioinformatics Tool,Genomics Tool,Biological Sciences,Microbial Ecology,Ecology,https://ecogenomics.github.io/CheckM/,https://github.com/Ecogenomics/CheckM/wiki,https://github.com/Ecogenomics/CheckM/wiki/Quick-Start
r-limma,expanse,"r-limma is an R package that provides methods for analyzing gene expression data, specifically designed for the detection of differentially expressed genes.","Statistical analysis of gene expression data, Identification of differentially expressed genes, Linear models and empirical Bayes methods, Visualization tools for gene expression data","Bioinformatics, Statistical Analysis, Gene Expression, R Package",Data Analysis Tool,Statistical Analysis,Biological Sciences,Genomics,Bioinformatics,,,
gfatools,anvil,"gfatools is a suite of tools for working with genomic sequence graphs and genome variation graphs. It provides functionalities for manipulating genomic graphs, performing sequence alignment on graphs, and analyzing variations within graphs.","1. Manipulation of genomic sequence graphs
2. Sequence alignment on graphs
3. Analysis of genome variations within graphs","genomics, genome variation graphs, sequence alignment, variation analysis",Tool,Bioinformatics,Biological Sciences,Genetics,Biological Sciences,,,
jupyter-notebook,ookami,"Jupyter Notebook is an open-source web application that allows users to create and share documents containing live code, equations, visualizations, and explanatory text. These documents, known as notebooks, can be used for data cleaning and transformation, numerical simulation, statistical modeling, data visualization, machine learning, and more.","Interactive computing, Support for over 40 programming languages, including Python, R, and Julia, Markdown support for text formatting, Integration with data visualization libraries like Matplotlib and Plotly, Ability to export notebooks in various formats such as HTML, PDF, and slideshows","IDE, Notebook, Data Science, Machine Learning, Research",Web Application,,Computer and Information Sciences,,,,,
stacks,"anvil, expanse, faster","Stacks is a software pipeline for building loci from short-read sequences, such as those generated on the Illumina platform.","Key features of Stacks include the ability to process RAD-seq data for population genomics studies, identifying SNPs, inferring haplotypes, and conducting linkage mapping.","software, computational biology, bioinformatics",Analysis Tool,Genomics Analysis,Biological Sciences,Population Genomics,Genomics,,,
pandora,anvil,"Pandora is a bioinformatics software tool designed for the sequence-based inference of gene function from large-scale biological data sets. It uses a statistical model to identify gene functions by integrating various types of data, such as gene expression profiles, protein-protein interactions, and evolutionary conservation.",1. Inference of gene function from diverse biological data sources. 2. Statistical model for integrating multiple data types. 3. Supports large-scale data sets. 4. User-friendly interface for analysis.,"Bioinformatics, Sequence Analysis, Gene Function Prediction",Bioinformatics Tool,Computational Software,Biological Sciences,Bioinformatics,Biological Sciences,,,
mageck,"anvil, faster",MAGeCK is a computational model designed for the analysis of high-throughput CRISPR-Cas9 genetic screens to identify essential genes and pathways.,"High-throughput CRISPR-Cas9 genetic screen analysis, Identification of essential genes and pathways, Gene set enrichment analysis, Quality control and normalization of CRISPR screening data","CRISPR-Cas9, Genetic screens, Essential genes, Pathway analysis",Computational tool,Bioinformatics,Biological Sciences,CRISPR-Cas9 screening,Genetics,,,
tau,"darwin, expanse, kyric, ookami","Tau is a performance analysis tool for parallel programs, providing insights into the behavior of applications across various HPC platforms.","Features include profiling, tracing, and performance analysis to identify bottlenecks and optimize code efficiency. It offers support for parallel programming models like MPI, OpenMP, CUDA, and more.","software, compiler, HPC tools",Commercial,Performance Analysis Tool,Physical Sciences,,,https://www.cs.uoregon.edu/research/tau/home.php,https://www.cs.uoregon.edu/research/tau/docs.php,https://www.cs.uoregon.edu/research/tau/docs/tutorial/
vscode,"aces, anvil","Visual Studio Code is a powerful source code editor developed by Microsoft for Windows, macOS, and Linux. It includes support for debugging, embedded Git control, syntax highlighting, intelligent code completion, snippets, and code refactoring.","Source code editor, Debugger, Git control, Syntax highlighting, Code completion, Code snippets, Code refactoring","IDE, Code editor, Development tool",Development tool,IDE,Computer and Information Sciences,,,,,
metaseq,anvil,"metaseq is a Python library for analyzing RNA-Seq data and differential expression analysis. It provides tools for visualizing gene expression results, exploring gene ontology, clustering samples, and identifying enriched pathways.","RNA-Seq data analysis, Differential gene expression analysis, Visualization of gene expression results, Functional enrichment analysis, Sample clustering, Pathway analysis","RNA-Seq, Data Analysis, Bioinformatics, Python Library",Library,Data Analysis,Biological Sciences,Transcriptomics,Bioinformatics,,,
aesara,faster,"Aesara is a Python library for symbolic mathematical operations, particularly focusing on deep learning and optimization. It allows for the creation of complex mathematical expressions and their manipulation symbolically, enabling automatic differentiation and optimization of functions.","Symbolic mathematical operations, automatic differentiation, optimization, deep learning support","Python library, Symbolic computation, Deep learning, Optimization",Library,Scientific Computing,Computer and Information Sciences,,,,,
amos,faster,AMOS (A Modular Open-Source Assembler) is a collection of tools and techniques for assembly of DNA sequences. It includes a robust collection of assembly algorithms and pipeline components for analyzing data from common next-generation sequencing platforms.,"DNA sequence assembly, Next-generation sequencing data analysis, Modular and open-source framework, Various assembly algorithms","Assembly, DNA sequencing, Bioinformatics",Sequence assembly software,Bioinformatics tool,Biological Sciences,Genomics,Genetics,,,
cuttlefish,anvil,"Cuttlefish is a software package that enables users to efficiently simulate imaging systems in ray-tracing simulations, particularly to model the performance of optical systems.","Ray-tracing simulations, Modeling optical systems, Simulation of imaging systems","Software Simulation, Optical Systems, Ray Tracing",,,Physical Sciences,,,,,
py-sympy,expanse,SymPy is a Python library for symbolic mathematics. It aims to become a full-featured computer algebra system (CAS) while keeping the code as simple as possible in order to be comprehensible and easily extensible. SymPy is written entirely in Python.,"Supports various mathematical operations including algebraic and calculus operations, solving equations, simplification, and more, Can be used to perform symbolic computation, manipulate and solve equations, integrate and differentiate, solve differential equations, and much more, Provides a wide range of functionality for symbolic mathematics similar to systems like Mathematica or Maple but entirely in Python, Free and open-source software with an active community maintaining and extending its capabilities, Can be easily integrated into Python code and utilized for various mathematical tasks","Python Library, Symbolic Mathematics, Computer Algebra System",Library,Mathematical Software,Mathematics,,,,,
